algorithm,pop_size,n_gen,crossover_prob,mutation_prob,seed,hv,gd,n_solutions
standard,50,100,0.8,0.5,1,118.6139166661223,0.0,40
standard,50,100,0.8,0.5,2,62.212741539232894,0.0,20
standard,50,100,0.8,0.5,3,22.62875537484731,0.0,20
standard,50,100,0.8,0.5,4,42.93729941563902,0.0,10
standard,50,100,0.8,0.5,5,188.3828353244871,0.0,50
standard,50,100,0.8,0.5,6,84.7801484930535,0.0,43
standard,50,100,0.8,0.5,7,48.46037738670124,0.0,27
standard,50,100,0.8,0.5,8,157.0939122173031,0.0,31
standard,50,100,0.8,0.5,9,114.5929358573355,0.0,44
standard,50,100,0.8,0.5,10,157.2139969039003,0.0,50
standard,50,100,0.8,0.8,1,86.21885414138029,0.0,42
standard,50,100,0.8,0.8,2,49.425104648964904,0.0,24
standard,50,100,0.8,0.8,3,29.66742888650974,0.0,19
standard,50,100,0.8,0.8,4,43.89690104582247,0.0,25
standard,50,100,0.8,0.8,5,114.59144972599618,0.0,37
standard,50,100,0.8,0.8,6,50.34607866604016,0.0,13
standard,50,100,0.8,0.8,7,258.8808180139605,0.0,50
standard,50,100,0.8,0.8,8,84.57027562963859,0.0,21
standard,50,100,0.8,0.8,9,131.0088337546894,0.0,39
standard,50,100,0.8,0.8,10,224.0855438464185,0.0,50
standard,50,100,0.9,0.5,1,161.83374408969823,0.0,29
standard,50,100,0.9,0.5,2,33.71801626030606,0.0,25
standard,50,100,0.9,0.5,3,84.75155730005794,0.0,32
standard,50,100,0.9,0.5,4,86.34352705022592,0.0,24
standard,50,100,0.9,0.5,5,175.53269061903325,0.0,39
standard,50,100,0.9,0.5,6,143.30177870526109,0.0,26
standard,50,100,0.9,0.5,7,149.66534812344395,0.0,50
standard,50,100,0.9,0.5,8,35.29907862806779,0.0,16
standard,50,100,0.9,0.5,9,125.39426592124165,0.0,48
standard,50,100,0.9,0.5,10,126.08270379364426,0.0,38
standard,50,100,0.9,0.8,1,75.42476443316131,0.0,23
standard,50,100,0.9,0.8,2,72.77476346537286,0.0,28
standard,50,100,0.9,0.8,3,91.34529895250986,0.0,38
standard,50,100,0.9,0.8,4,45.33914809053871,0.0,18
standard,50,100,0.9,0.8,5,142.06959284713713,0.0,50
standard,50,100,0.9,0.8,6,94.2546149942258,0.0,22
standard,50,100,0.9,0.8,7,60.83356937547754,0.0,21
standard,50,100,0.9,0.8,8,65.71616096272868,0.0,19
standard,50,100,0.9,0.8,9,42.518907834835986,0.0,26
standard,50,100,0.9,0.8,10,99.33689774349044,0.0,36
standard,50,200,0.8,0.5,1,173.48608000651495,0.0,39
standard,50,200,0.8,0.5,2,45.09639500169603,0.0,47
standard,50,200,0.8,0.5,3,62.903518827658054,0.0,50
standard,50,200,0.8,0.5,4,47.27000889932193,0.0,15
standard,50,200,0.8,0.5,5,314.83477442091964,0.0,50
standard,50,200,0.8,0.5,6,126.62071704774942,0.0,50
standard,50,200,0.8,0.5,7,99.04979627831062,0.0,44
standard,50,200,0.8,0.5,8,168.21670650625288,0.0,50
standard,50,200,0.8,0.5,9,197.4869649801745,0.0,50
standard,50,200,0.8,0.5,10,135.3421281569341,0.0,49
standard,50,200,0.8,0.8,1,94.6927104984004,0.0,47
standard,50,200,0.8,0.8,2,70.50237453362553,0.0,32
standard,50,200,0.8,0.8,3,60.57475062487364,0.0,46
standard,50,200,0.8,0.8,4,78.44352755847603,0.0,39
standard,50,200,0.8,0.8,5,219.56229179422297,0.0,50
standard,50,200,0.8,0.8,6,62.7070470831376,0.0,50
standard,50,200,0.8,0.8,7,214.0224276408032,0.0,50
standard,50,200,0.8,0.8,8,154.46288641109135,0.0,50
standard,50,200,0.8,0.8,9,158.7816402026828,0.0,50
standard,50,200,0.8,0.8,10,432.6080297278505,0.0,47
standard,50,200,0.9,0.5,1,197.1789830069418,0.0,50
standard,50,200,0.9,0.5,2,74.05592149797214,0.0,48
standard,50,200,0.9,0.5,3,213.45182030033533,0.0,44
